X1,X2,X3,X4,X5,Y
0.7968471641377171,3.0,0.5,0.0,0.0,0.26228131491393386
0.7968471641377171,3.0,0.5,0.0,0.0,0.27377948389051543
0.7968471641377171,3.0,0.5,0.14285714285714285,0.0,0.3048072552263216
0.9152392638848016,3.0,0.3333333333333333,0.0,6.780847090541939e-06,0.21394419221723512
0.9152392638848016,3.0,0.3333333333333333,0.0,6.780847090541939e-06,0.21416261634740622
0.913544052112166,3.0,0.3333333333333333,0.3333333333333333,2.017302009436227e-05,0.21020535307789998
0.5318543306204202,3.0,0.6,0.0,0.015684491645567417,0.1848469309510599
0.5318543306204202,3.0,0.5,0.0,0.014342370783946096,0.18642160478821543
0.5318543306204202,3.0,0.5,0.0,0.013513823815494456,0.19742409684498596
0.8169222011373884,3.0,0.375,0.2,0.09894075438923439,0.3869420462514994
0.8169222011373884,3.0,0.42857142857142855,0.16666666666666666,0.09867992188839282,0.3869420462514994
0.8169222011373884,3.0,0.2857142857142857,0.16666666666666666,0.09867992188839282,0.3765919101477513
0.5414375,3.0,0.3333333333333333,0.0,0.0009163,0.19481752543687408
0.5414375,3.0,0.5,0.0,0.0010776333333333333,0.18824900019757596
0.6537283666666667,3.0,0.5,0.0,0.0010196333333333334,0.2397650863903311
0.0019055734919286322,3.0,0.5,0.0,0.008623619371282922,0.21217634719685716
0.0021473916737468138,3.0,0.5,0.0,0.015204910790144435,0.20694716780182976
0.009251384876805437,3.0,0.5,0.0,0.015204910790144435,0.21999999999628408
0.8702033613445378,3.0,0.3333333333333333,0.3333333333333333,0.0,0.22053597059476188
0.8702033613445378,3.0,0.5,0.3333333333333333,0.0,0.21568538163422457
0.8702033613445378,3.0,0.5,0.3333333333333333,0.0,0.21273518039409076
0.7688,3.0,0.3333333333333333,0.3333333333333333,0.00878442382331567,0.2140321000609366
0.7688,3.0,0.3333333333333333,0.2,0.010477569391459904,0.21376573643459656
0.7688,3.0,0.3333333333333333,0.2,0.010477569391459904,0.21628905877173715
0.0019055734919286322,3.0,0.3333333333333333,0.0,0.7650503492073975,0.21011834275457844
0.0021473916737468138,4.0,0.3333333333333333,0.0,0.7518337027452766,0.20457762763282128
0.009251384876805437,4.0,0.3333333333333333,0.0,0.7508106120937661,0.20231447843124079
0.9928911022075863,3.0,0.3333333333333333,0.16666666666666666,0.0,0.1714180790960452
0.9909161895962922,3.0,0.5,0.16666666666666666,0.0,0.22650085004930118
0.9901454492621051,3.0,0.5,0.16666666666666666,0.0,0.2938829842891099
0.8056326628833994,3.0,0.3333333333333333,0.0,0.00019052788337479195,0.21545106874857084
