No,Kode,Nama Perusahaan,Tahun,Total Aset (ISI),Total Liabilitas (ISI),Total Ekuitas (ISI),Laba Sebelum Pajak (ada),Beban Pajak (ada)
72,ICBP,Indofood CBP Sukses Makmur Tbk,2024,,,,11499337000000.0,2685960000000.0
73,INDF,Indofood Sukses Makmur Tbk.,2022,,,,12318765000000.0,3126196000000.0
74,INDF,Indofood Sukses Makmur Tbk.,2023,,,,15615384000000.0,4121651000000.0
75,INDF,Indofood Sukses Makmur Tbk.,2024,,,,17039782000000.0,3962286000000.0
76,ITIC,Indonesian Tobacco Tbk.,2022,,,,32279830698.0,8327507522.0
77,ITIC,Indonesian Tobacco Tbk.,2023,,,,36218089397.0,9254462122.0
78,ITIC,Indonesian Tobacco Tbk.,2024,,,,29384812158.0,8143567946.0
79,JPFA,Japfa Comfeed Indonesia Tbk.,2022,,,,1954529000000.0,463598000000.0
80,JPFA,Japfa Comfeed Indonesia Tbk.,2023,,,,1261237000000.0,315315000000.0
81,JPFA,Japfa Comfeed Indonesia Tbk.,2024,,,,4241472000000.0,1029134000000.0
82,KEJU,Mulia Boga Raya Tbk.,2022,,,,150389911968.0,33019161585.0
83,KEJU,Mulia Boga Raya Tbk.,2023,,,,102980669381.0,22638254124.0
84,KEJU,Mulia Boga Raya Tbk.,2024,,,,185996427344.0,39115890080.0
85,KMDS,Kurniamitra Duta Sentosa Tbk.,2022,,,,61240255109.0,13246909390.0
86,KMDS,Kurniamitra Duta Sentosa Tbk.,2023,,,,65034627432.0,13794734870.0
87,KMDS,Kurniamitra Duta Sentosa Tbk.,2024,,,,69494992663.0,14613524014.0
88,LSIP,PP London Sumatra Indonesia Tb,2022,,,,1283525000000.0,248240000000.0
89,LSIP,PP London Sumatra Indonesia Tb,2023,,,,911426000000.0,150753000000.0
90,LSIP,PP London Sumatra Indonesia Tb,2024,,,,1773053000000.0,297399000000.0
91,MAIN,Malindo Feedmill Tbk.,2022,,,,31829214000.0,5611557000.0
92,MAIN,Malindo Feedmill Tbk.,2023,,,,111395613000.0,48232867000.0
93,MAIN,Malindo Feedmill Tbk.,2024,,,,638164550000.0,150206967000.0
94,MIDI,Midi Utama Indonesia Tbk.,2022,,,,495021000000.0,95900000000.0
95,MIDI,Midi Utama Indonesia Tbk.,2023,,,,635940000000.0,119622000000.0
96,MIDI,Midi Utama Indonesia Tbk.,2024,,,,658275000000.0,182698000000.0
97,MLBI,Multi Bintang Indonesia Tbk.,2022,,,,1246487000000.0,321581000000.0
98,MLBI,Multi Bintang Indonesia Tbk.,2023,,,,1397720000000.0,331253000000.0
99,MLBI,Multi Bintang Indonesia Tbk.,2024,,,,1447924000000.0,305678000000.0
100,MLPL,Multipolar Tbk.,2022,,,,634347000000.0,95297000000.0
101,MLPL,Multipolar Tbk.,2023,,,,291105000000.0,66636000000.0
102,MLPL,Multipolar Tbk.,2024,,,,444442000000.0,75585000000.0
103,MYOR,Mayora Indah Tbk.,2022,,,,2506057517934.0,535992979785.0
104,MYOR,Mayora Indah Tbk.,2023,,,,4093715832812.0,848843741591.0
105,MYOR,Mayora Indah Tbk.,2024,,,,3881094493336.0,813426817929.0
106,PGUN,Pradiksi Gunatama Tbk.,2022,,,,188875205126.0,21628659747.0
107,PGUN,Pradiksi Gunatama Tbk.,2023,,,,139399064133.0,31342476545.0
108,PGUN,Pradiksi Gunatama Tbk.,2024,,,,101823072593.0,22641909865.0
109,PSGO,Palma Serasih Tbk.,2022,,,,318534090195.0,60851959498.0
110,PSGO,Palma Serasih Tbk.,2023,,,,659627712050.0,110383707164.0
111,PSGO,Palma Serasih Tbk.,2024,,,,439133492122.0,88486017851.0
112,ROTI,Nippon Indosari Corpindo Tbk.,2022,,,,572782719985.0,140534997731.0
113,ROTI,Nippon Indosari Corpindo Tbk.,2023,,,,427990685263.0,94690264300.0
114,ROTI,Nippon Indosari Corpindo Tbk.,2024,,,,468944996208.0,106749297728.0
115,SDPC,Millennium Pharmacon Internati,2022,,,,36464134244.0,12000079369.0
116,SDPC,Millennium Pharmacon Internati,2023,,,,47960768133.0,14879566285.0
117,SDPC,Millennium Pharmacon Internati,2024,,,,27701302589.0,10787170467.0
118,SGRO,Sampoerna Agro Tbk.,2022,,,,1404039000000.0,364596000000.0
119,SGRO,Sampoerna Agro Tbk.,2023,,,,744305000000.0,303526000000.0
120,SGRO,Sampoerna Agro Tbk.,2024,,,,1068205000000.0,370721000000.0
121,SIMP,Salim Ivomas Pratama Tbk.,2022,,,,2396986000000.0,887381000000.0
122,SIMP,Salim Ivomas Pratama Tbk.,2023,,,,1487689000000.0,560911000000.0
123,SIMP,Salim Ivomas Pratama Tbk.,2024,,,,2985104000000.0,801454000000.0
124,SKLT,Sekar Laut Tbk.,2022,,,,92439536022.0,17574233946.0
125,SKLT,Sekar Laut Tbk.,2023,,,,124697224386.0,27433389365.0
126,SKLT,Sekar Laut Tbk.,2024,,,,151442413569.0,34153623762.0
127,SMAR,Smart Tbk.,2022,,,,6805971000000.0,1301015000000.0
128,SMAR,Smart Tbk.,2023,,,,1108886000000.0,191016000000.0
129,SMAR,Smart Tbk.,2024,,,,1585442000000.0,307173000000.0
130,SSMS,Sawit Sumbermas Sarana Tbk.,2022,,,,2275566311000.0,427447333000.0
131,SSMS,Sawit Sumbermas Sarana Tbk.,2023,,,,552135147000.0,208119522000.0
132,SSMS,Sawit Sumbermas Sarana Tbk.,2024,,,,1226103304000.0,381411919000.0
133,STTP,Siantar Top Tbk.,2022,,,,756723520605.0,132199514819.0
134,STTP,Siantar Top Tbk.,2023,,,,1102640346668.0,184846323957.0
135,STTP,Siantar Top Tbk.,2024,,,,1509020656369.0,194589882421.0
136,TAPG,Triputra Agro Persada Tbk.,2022,,,,3689281000000.0,600536000000.0
137,TAPG,Triputra Agro Persada Tbk.,2023,,,,1941098000000.0,279840000000.0
138,TAPG,Triputra Agro Persada Tbk.,2024,,,,3926904000000.0,686305000000.0
139,TBLA,Tunas Baru Lampung Tbk.,2022,,,,1020318000000.0,218878000000.0
140,TBLA,Tunas Baru Lampung Tbk.,2023,,,,785873000000.0,173655000000.0
141,TBLA,Tunas Baru Lampung Tbk.,2024,,,,903960000000.0,202940000000.0
142,TGKA,Tigaraksa Satria Tbk.,2022,,,,604907000000.0,126640962325.0
143,TGKA,Tigaraksa Satria Tbk.,2023,,,,587515000000.0,146416000000.0
144,TGKA,Tigaraksa Satria Tbk.,2024,,,,493616000000.0,91199000000.0
145,UCID,Uni-Charm Indonesia Tbk.,2022,,,,431083000000.0,117435000000.0
146,UCID,Uni-Charm Indonesia Tbk.,2023,,,,574215000000.0,139683000000.0
147,UCID,Uni-Charm Indonesia Tbk.,2024,,,,461629000000.0,111188000000.0
148,ULTJ,Ultrajaya Milk Industry & Trad,2022,,,,1288998000000.0,323512000000.0
149,ULTJ,Ultrajaya Milk Industry & Trad,2023,,,,1507285000000.0,321124000000.0
150,ULTJ,Ultrajaya Milk Industry & Trad,2024,,,,1506963000000.0,353047000000.0
151,UNSP,Bakrie Sumatera Plantations Tb,2022,,,,946717000000.0,16510000000.0
152,UNSP,Bakrie Sumatera Plantations Tb,2023,,,,94995000000.0,68858000000.0
153,UNSP,Bakrie Sumatera Plantations Tb,2024,,,,280258000000.0,141369000000.0
154,UNVR,Unilever Indonesia Tbk.,2022,,,,6993803000000.0,1629042000000.0
155,UNVR,Unilever Indonesia Tbk.,2023,,,,6201876000000.0,1400936000000.0
156,UNVR,Unilever Indonesia Tbk.,2024,,,,4350424000000.0,981731000000.0
157,VICI,Victoria Care Indonesia Tbk.,2022,,,,132396468529.0,34757414841.0
158,VICI,Victoria Care Indonesia Tbk.,2023,,,,235756772393.0,57301606431.0
159,VICI,Victoria Care Indonesia Tbk.,2024,,,,226992947180.0,51047316672.0
160,WIIM,Wismilak Inti Makmur Tbk.,2022,,,,319471051042.0,69826921963.0
161,WIIM,Wismilak Inti Makmur Tbk.,2023,,,,634835802093.0,140106627787.0
162,WIIM,Wismilak Inti Makmur Tbk.,2024,,,,376735000000.0,78021500000.0
